,key,Brewery Key,Style Key,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency_customer,Body_customer,Alcohol_customer,Bitter_customer,Sweet_customer,Sour_customer,Salty_customer,Fruits_customer,Hoppy_customer,Spices_customer,Malty_customer,Astringency_description,Body_description,Alcohol_description,Bitter_description,Sweet_description,Sour_description,Salty_description,Fruits_description,Hoppy_description,Spices_description,Malty_description
0,251,34,8,Richly malty and long on the palate with just enough hop backing to make this beautiful amber colored alt style beer notably well balanced ,5.3,3.65,25,50,13,32,9,47,74,33,0,33,57,8,111,0,0,0,1,0,0,0,0,1,0,1
1,252,872,8,This malty full bodied double alt is also known as Stickebier German slang for secret brew Long Trail Double Bag was originally offered only in our brewery taproom as special treat to our visitors With an alcohol content of please indulge in moderation The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate Beer of the Year in Malt Advocate is national magazine devoted to expanding the boundaries of fine drinks Their panel of judges likes to keep things simple and therefore of thousands of eligible competitors they award only two categories Imported and Domestic It is great honor to receive this recognition IBU ,7.2,3.9,25,50,12,57,18,33,55,16,0,24,35,12,84,0,1,1,0,0,0,0,0,0,0,1
2,253,872,8,Long Trail Ale is full bodied amber ale modeled after the Alt biers of Düsseldorf Germany Our top fermenting yeast and cold finishing temperature result in complex yet clean full flavor Originally introduced in November of Long Trail Ale beer quickly became and remains the largest selling craft brew in Vermont It is multiple medal winner at the Great American Beer Festival IBU ,5.0,3.58,25,50,14,37,6,42,43,11,0,10,54,4,62,1,1,0,0,0,0,0,0,0,0,0
4,255,1019,8,Just cause it dark and German doesn mean it an alt Based on the obscure Kottbusser style of beer this surprisingly dry beer retains all the aroma and nuance of honey from bees and molasses not from bees creating perception of sweetness through cool controlled fermentation Because we re sweet enough damn it IBU ,5.3,3.67,25,50,21,69,10,63,120,14,0,19,36,15,218,1,0,1,1,0,1,0,0,1,0,1
5,256,997,8,Called Dark Double Alt on the label Seize the season with Sleigh Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable Paired with dry finish Sleigh is anything but your typical winter brew An Alt ferments with Ale yeast at colder lagering temperatures This effect gives Alts more refined crisp lager like flavor than traditional ales The Alt has been Ninkasified raising the ABV and IBUs Sleigh has deep toasted malt flavor that finishes dry and balanced IBU ,7.2,3.78,25,50,25,51,26,44,45,9,1,11,51,20,95,0,0,0,1,0,0,0,0,1,0,0
7,258,1464,8,Classified as German Altbier by the Widmer Brothers brewed with an ale Alt yeast strain availability early Aug late Oct bitterness IBUoriginal gravity PLATO ,5.3,3.46,25,50,28,40,3,40,58,29,0,36,54,8,97,1,1,1,1,1,1,0,1,1,0,1
9,260,1336,8,OMB flagship Copper is an authentic Düsseldorf style Altbier or Amber Ale There are no crazy flavors or gimmicks with Copper its full flavored start transitions to smooth balanced easy drinking finish It the beer that tastes like beer ,4.8,4.1,25,50,25,35,4,38,39,13,1,8,60,16,97,0,0,0,1,1,0,0,0,1,0,1
11,262,1402,8,Uerige Alt is the most bittered beer in Germany In spite of this or just for that reason this legendary Altbier from Düsseldorf is so full bodied aromatic and wholesome Our top fermented specialty has been brewed since from barley malt caramel malt roasted malt hops water and with our very special Uerige yeast Our Uerige Alt is regularly chosen among the ten best beers in Germany It has an alcohol content of and minimum fresh date of eight weeks Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt Es hat einen Alkoholgehalt von und ein Mindestfrischedatum von acht Wochen ,4.7,4.0,25,50,34,48,9,55,59,25,1,32,68,12,121,0,1,0,1,1,0,0,0,1,0,1
12,263,1481,8,Check out piece of Nashville brewing history Gerst Brewery was the original Nashville brewery but never recovered after prohibition We are excited to partner with the Chandler Family owners of the Gerst Haus Restaurant to bring this beer back right where it belongs Nashville Tennessee This is very clean beer with mostly German malts and hint of flaked maize remaining as true as possible to the original Gerst recipe IBUs ,5.1,3.54,25,50,10,19,1,21,30,11,4,8,24,2,65,1,0,0,1,0,1,0,0,1,0,1
13,264,616,8,This ale is the first brewed in Kansas since pioneering days The name Ad Astra comes from the Kansas State Motto Ad Astra per Aspera Latin words meaning To the Stars through Difficulties We ve blended Pale Caramel and Munich malts for rich amber beer The hops balance this malty sweetness and we ve chosen Northern brewer and Fuggles hops for their flavor IBU ,5.6,3.69,25,50,7,30,5,43,43,13,1,13,50,6,93,1,1,0,1,1,0,0,0,1,0,1
